Time,Cases,Recoveries,Deaths
2020-02-28,1,0,0
2020-02-29,1,0,0
2020-03-01,1,0,0
2020-03-02,1,0,0
2020-03-03,1,0,0
2020-03-04,1,0,0
2020-03-05,1,0,0
2020-03-06,1,0,0
2020-03-07,1,0,0
2020-03-08,1,0,0
2020-03-09,2,0,0
2020-03-10,2,0,0
2020-03-11,2,0,0
2020-03-12,2,0,0
2020-03-13,2,0,0
2020-03-14,2,0,0
2020-03-15,2,0,0
2020-03-16,2,0,0
2020-03-17,3,0,0
2020-03-18,8,1,0
2020-03-19,8,1,0
2020-03-20,12,1,0
2020-03-21,22,1,0
2020-03-22,30,2,0
2020-03-23,40,2,1
2020-03-24,44,2,1
2020-03-25,51,2,1
2020-03-26,65,2,1
2020-03-27,70,3,1
2020-03-28,89,3,1
2020-03-29,111,3,1
2020-03-30,131,8,2
2020-03-31,135,8,2
2020-04-01,174,9,2
2020-04-02,184,20,2
2020-04-03,210,25,4
2020-04-04,214,25,4
2020-04-05,232,33,5
2020-04-06,238,35,5
2020-04-07,254,44,6
2020-04-08,276,44,6
2020-04-09,288,51,7
2020-04-10,305,58,7
2020-04-11,318,70,10
2020-04-12,323,85,10
2020-04-13,343,91,10
2020-04-14,373,99,11
2020-04-15,407,128,12
2020-04-16,442,152,13
2020-04-17,493,159,17
2020-04-18,542,166,19
2020-04-19,627,170,21
2020-04-20,665,188,22
2020-04-21,665,188,22
2020-04-22,873,197,28
2020-04-23,981,197,31
2020-04-24,1095,208,32
2020-04-25,1182,222,35
2020-04-26,1273,239,40
2020-04-27,1337,255,40
2020-04-28,1532,255,44
2020-04-29,1728,307,51
2020-04-30,1932,319,58
2020-05-01,2170,351,68
2020-05-02,2388,351,85
2020-05-03,2558,400,87
2020-05-04,2802,417,93
2020-05-05,2950,481,98
2020-05-06,3145,534,103
2020-05-07,3526,601,107
2020-05-08,3912,679,117
2020-05-09,4151,745,128
2020-05-10,4399,778,143
2020-05-11,4641,902,150
2020-05-12,4787,959,158
2020-05-13,4971,1070,164
2020-05-14,5162,1180,167
2020-05-15,5450,1320,171
2020-05-16,5621,1472,176
2020-05-17,5959,1594,182
2020-05-18,6175,1644,191
2020-05-19,6401,1734,192
2020-05-20,6677,1840,200
2020-05-21,7016,1907,211
2020-05-22,7261,2007,221
2020-05-23,7526,2174,221
2020-05-24,7839,2263,226
2020-05-25,8068,2311,233
2020-05-26,8344,2385,249
2020-05-27,8733,2501,254
2020-05-28,8915,2592,259
2020-05-29,9302,2697,261
2020-05-30,9855,2856,273
2020-05-31,10162,3007,287
2020-06-01,10578,3122,299
2020-06-02,10819,3240,314
2020-06-03,11166,3329,315
2020-06-04,11516,3535,323
2020-06-05,11844,3696,333
2020-06-06,12233,3826,342
2020-06-07,12486,3959,354
2020-06-08,12801,4040,361
2020-06-09,13464,4206,365
2020-06-10,13873,4351,382
2020-06-11,14554,4494,387
2020-06-12,15181,4891,399
2020-06-13,15682,5101,407
2020-06-14,16085,5220,420
2020-06-15,16658,5349,424
2020-06-16,17148,5623,455
2020-06-17,17735,5967,469
2020-06-18,18480,6307,475
2020-06-19,19147,6581,487
2020-06-20,19808,6718,506
2020-06-21,20244,6879,518
2020-06-22,20919,7109,525
2020-06-23,21371,7338,533
2020-06-24,22020,7613,542
2020-06-25,22614,7822,549
2020-06-26,23298,8253,554
2020-06-27,24077,8625,558
2020-06-28,24567,9007,565
2020-06-29,25133,9402,573
2020-06-30,25694,9746,590
2020-07-01,26484,10152,603
2020-07-02,27110,10801,616
2020-07-03,27564,11069,628
2020-07-04,28167,11462,634
2020-07-05,28711,11665,645
2020-07-06,29286,11828,654
2020-07-07,29789,12108,669
2020-07-08,30249,12373,684
2020-07-09,30748,12546,689
2020-07-10,31323,12795,709
2020-07-11,31987,13103,724
2020-07-12,32558,13447,740
2020-07-13,33153,13671,744
2020-07-14,33616,13792,754
2020-07-15,34259,13999,760
2020-07-16,34854,14292,769
2020-07-17,35454,14633,772
2020-07-18,36107,14938,778
2020-07-19,36663,15105,789
2020-07-20,37225,15333,801
2020-07-21,37801,15677,805
2020-07-22,38344,15815,813
2020-07-23,38948,16061,833
2020-07-24,39539,16559,845
2020-07-25,39977,16948,856
2020-07-26,40532,17374,858
2020-07-27,41180,18203,860
2020-07-28,41804,18764,868
2020-07-29,42208,19004,873
2020-07-30,42689,19270,878
2020-07-31,43151,19565,879
2020-08-01,43537,20087,883
2020-08-02,43841,20308,888
2020-08-03,44129,20663,896
2020-08-04,44433,31851,910
2020-08-05,44890,32165,927
2020-08-06,45244,32430,930
2020-08-07,45687,32637,936
2020-08-08,46140,33044,942
